,0
2011-07-13,1649924.9388939664
2011-07-14,1439199.951859508
2011-07-15,2377504.7889499366
2011-07-16,4043365.6756783696
2011-07-17,2972691.342339221
2011-07-18,2152767.7785891895
2011-07-19,1837372.4661484524
2011-07-20,1654864.4932197202
2011-07-21,1552157.4746443126
2011-07-22,2494368.56070552
2011-07-23,4056287.4307829477
2011-07-24,3139117.2758390815
2011-07-25,1880031.6352631103
2011-07-26,1701800.609887079
2011-07-27,1599168.9535571856
2011-07-28,1273875.598694395
2011-07-29,2270530.571117565
2011-07-30,3872634.4050454055
2011-07-31,2800164.273978061
2011-08-01,1896625.0341447236
2011-08-02,1229667.188137162
2011-08-03,1110020.1496004032
2011-08-04,971993.4711655324
2011-08-05,2165549.915197158
2011-08-06,3899917.460135652
2011-08-07,3065836.728344702
2011-08-08,2119276.474691819
2011-08-09,2039727.4893091356
2011-08-10,1959990.0589659524
2011-08-11,1840255.951458059
2011-08-12,2787234.165986356
2011-08-13,4496497.529924349
2011-08-14,3387943.5808853908
2011-08-15,2480576.739233919
2011-08-16,2320134.1411759057
2011-08-17,2013221.174397379
2011-08-18,1673837.9285332195
2011-08-19,2669898.60751952
2011-08-20,4311642.709374483
2011-08-21,3233904.160464875
2011-08-22,2266073.252592403
2011-08-23,1995286.8952747758
2011-08-24,1735889.547656785
2011-08-25,1584631.5797092102
2011-08-26,2579934.6402148274
2011-08-27,4018311.8326443885
2011-08-28,3004879.225218149
2011-08-29,1918662.4014710467
2011-08-30,1801588.5582544198
2011-08-31,1589700.822486331
2011-09-01,1444647.800778452
2011-09-02,1886708.5826356767
2011-09-03,3590185.096699211
2011-09-04,2720807.33910077
2011-09-05,1920921.696928892
2011-09-06,1835350.5984173052
2011-09-07,1613100.3149421776
2011-09-08,1609419.9866991653
2011-09-09,2650009.0456893225
2011-09-10,4317194.355922588
2011-09-11,3306218.587851478
2011-09-12,2448580.3585721096
2011-09-13,2120396.8336308184
2011-09-14,2057113.7866829622
2011-09-15,1756182.4063221645
2011-09-16,2843821.318938677
2011-09-17,4487182.396984845
2011-09-18,3456201.894334709
2011-09-19,2492032.8830615254
2011-09-20,2240841.2700287886
2011-09-21,1961988.693078148
2011-09-22,1821098.5244457715
2011-09-23,2683308.4259651173
2011-09-24,4360610.551824711
2011-09-25,3351826.5331190913
2011-09-26,2211174.328846272
2011-09-27,1990871.6415591505
2011-09-28,1931815.9967233804
2011-09-29,1646480.8481656297
2011-09-30,2634156.7876066994
2011-10-01,4342774.597863056
2011-10-02,2842535.287497187
2011-10-03,1965558.9149935455
2011-10-04,1878148.2756661794
2011-10-05,1670540.9095770998
2011-10-06,1625385.1545640589
2011-10-07,2908849.25978694
2011-10-08,4535898.737259336
2011-10-09,3525035.9403365245
2011-10-10,2524949.3681273544
2011-10-11,2302189.9692385877
2011-10-12,2137508.8579500155
2011-10-13,1979451.9942080455
2011-10-14,2897281.3740644073
2011-10-15,4487862.131607143
2011-10-16,3522364.515657092
2011-10-17,2471326.117579579
2011-10-18,2248234.636124851
2011-10-19,2097036.0740813771
2011-10-20,1694450.868409979
2011-10-21,2864637.1679709167
2011-10-22,4337611.611641056
2011-10-23,3348696.464295365
2011-10-24,2305440.1660140613
2011-10-25,2098427.0162735735
2011-10-26,1929022.1858375361
2011-10-27,1585823.8561980636
2011-10-28,2387587.7829336487
2011-10-29,4070808.810002013
2011-10-30,3014696.701823994
2011-10-31,2038637.8647932748
2011-11-01,1814091.838505961
2011-11-02,1236461.4878514612
2011-11-03,1090676.590687995
2011-11-04,2199773.9205081137
2011-11-05,4105012.2869918705
2011-11-06,3208291.2139648846
2011-11-07,2393304.499720179
2011-11-08,2265447.6680177436
2011-11-09,1966220.5815137469
2011-11-10,1898951.9856717123
2011-11-11,2980900.502846935
2011-11-12,4572487.478572562
2011-11-13,3635789.685159655
2011-11-14,2528194.990025123
2011-11-15,2295800.1383698187
2011-11-16,2061193.7459135738
2011-11-17,1799723.829806381
2011-11-18,2923105.824606759
2011-11-19,4333675.702460423
2011-11-20,3393876.449345564
2011-11-21,2453448.164856169
2011-11-22,2175228.578607797
2011-11-23,2021657.8546556935
2011-11-24,1708789.559418646
2011-11-25,2795560.7609073594
2011-11-26,4206035.458180431
2011-11-27,3318871.911618039
2011-11-28,2197863.761203169
2011-11-29,1972046.4660211797
2011-11-30,1815105.3815202937
2011-12-01,1647853.9453920042
2011-12-02,2311000.258043212
2011-12-03,3889623.269465653
2011-12-04,3081434.7791382484
2011-12-05,2111261.8840479613
